bin_center,sigma,d_sigma
1017000.0,0.3647999999999999,0.0544
1019000.0,0.3647999999999999,0.0544
1021000.0,0.3647999999999999,0.0544
1023000.0,0.4041865150080808,0.0455957517150241
1025000.0,0.5632,0.0672
1027000.0,0.5632,0.0672
1029000.0,0.5632,0.0672
1031000.0,0.5611402768592214,0.04011432043215074
1033000.0,0.5632,0.0672
1035000.0,0.563232764504469,0.0671873763883598
1037000.0,0.7093461521795764,0.048750144695583295
1039000.0,0.7590594244981766,0.051711986103669005
1041000.0,0.742799484562848,0.03495546540515984
1043000.0,0.7893048782287563,0.0338093236137555
1045000.0,0.4840619893084166,0.004273268988293925
1047000.0,1.0229126977542466,0.024711756185294267
1049000.0,1.7093796593810415,0.030088222785461496
1051000.0,3.5488121357928297,0.04136848018779582
1053000.0,6.968648965807991,0.0632206063810548
1055000.0,8.456366351381122,0.0705956640687136
1057000.0,6.4272848330388035,0.05900749563140649
1059000.0,3.6243025020752313,0.0430360971486074
1061000.0,2.0038727456127434,0.03341818534711872
1063000.0,1.4327985814263073,0.036213204426326
1065000.0,1.2554009819738572,0.0398891226775611
1067000.0,0.998855915517878,0.055295400836169
1069000.0,0.9997120859103412,0.0528314764441354
1071000.0,1.1288009353833681,0.06030258901976754
1073000.0,0.9617304151376235,0.054118276649978606
1075000.0,0.8910278266373209,0.055146239895211
1077000.0,0.9276768312488121,0.052377241637143926
1079000.0,0.87647813293801,0.051347917342335
1081000.0,1.0645179433258778,0.05488288501438082
1083000.0,1.016557089310432,0.0526331535255374
1085000.0,1.006357887458172,0.0536428169838098
1087000.0,1.0477043232597858,0.05106407260788446
1089000.0,1.0386991982412572,0.05452081613002419
1091000.0,1.060592333298764,0.0626681046585677
1093000.0,1.0331761489327604,0.04733070713406614
1095000.0,0.9651033416912284,0.05861557581488921
1097000.0,1.0831852892789444,0.0571215101204677
1099000.0,1.1162911949050651,0.0594695247438044
1101000.0,1.0604989536272398,0.0588506929823984
1103000.0,1.071107798223052,0.05462865318389191
1105000.0,1.1326040337061816,0.0634927815593626
1107000.0,1.1447599676514877,0.056034528190764994
1109000.0,1.1385788242182728,0.0629250820794424
1111000.0,1.1018796649748217,0.055699839412897904
1113000.0,1.0779515709459715,0.05698760097725801
1115000.0,1.0721035901255902,0.0571857625408984
1117000.0,1.1339369737097869,0.0539308757655791
1119000.0,1.2313160386425512,0.0640974353098002
1121000.0,1.226215671947415,0.0550912982162634
1123000.0,1.236756254116835,0.0563467059770024
1125000.0,1.299620421158243,0.06232479732537441
1127000.0,1.3097115642377342,0.0578386531618176
1129000.0,1.282853295834244,0.0640394222961025
1131000.0,1.2956134142539968,0.0588925293010924
1133000.0,1.4833312813593358,0.038794323615852555
1135000.0,1.2894121259344618,0.0598177612206169
1137000.0,1.2978912477823277,0.062034482231271594
1139000.0,1.3493731572940124,0.0657353399709833
1141000.0,1.5122688040909253,0.05819395019027349
1143000.0,1.7010432615253257,0.0859753778482015
1145000.0,1.731021034534121,0.08833417483507139
1147000.0,1.6753495571825852,0.0388601081209386
1149000.0,1.6500555368250054,0.0638188412942034
1151000.0,1.6356325689727669,0.0566252435142938
1153000.0,1.493287824074118,0.0583623251426224
1155000.0,1.461495082959399,0.059419735975522095
1157000.0,1.570397523025683,0.0763945293856121
1159000.0,1.6101319085262937,0.0652504333648037
1161000.0,1.623711000144732,0.0713798184534521
1163000.0,1.7409720417580685,0.042076363128710347
1165000.0,1.5955619946698891,0.0696175602092596
1167000.0,1.6142710251434305,0.0652511179127632
1169000.0,1.61636547319894,0.067844562246811
1171000.0,1.598010739974718,0.0688546579567591
1173000.0,1.5895529427937667,0.0640323957110783
1175000.0,1.5999215207698023,0.0708677207811899
1177000.0,1.7960305619710855,0.043576761453873174
1179000.0,1.6550639651196442,0.0714851072352341
1181000.0,1.6485025841977279,0.0678589101526836
1183000.0,1.6358514595832725,0.0755401378817479
1185000.0,1.6219611420411475,0.0655423300604889
1187000.0,1.6357371969189027,0.0678918026239461
1189000.0,1.675827464896691,0.0704305044519502
1191000.0,1.7464385603951227,0.061798950225021736
1193000.0,1.918726837605445,0.04704483858591403
1195000.0,1.7593362337860323,0.0666606914287531
1197000.0,1.7478802048447066,0.0718783784691354
1199000.0,1.7036859024539246,0.066091742737983
1201000.0,1.7047653799995204,0.0687585980852567
1203000.0,1.7475238254551988,0.0712374545013925
1205000.0,1.760828017312637,0.0672181332035438
1207000.0,1.9750598484732305,0.050020451401958044
1209000.0,1.8372086094283728,0.0694868250089581
1211000.0,1.9547844321941563,0.0771748590211145
1213000.0,1.9573301896950752,0.070465509316393
1215000.0,1.9183007762139568,0.0751963610992444
1217000.0,1.8572038096564791,0.0701005606848476
1219000.0,1.8374835761293369,0.078841640173774
1221000.0,1.8812074469631497,0.0692874278108635
1223000.0,2.0560287287233825,0.04914799940364093
1225000.0,1.8373005873682589,0.0708928741314022
1227000.0,1.7735830861168065,0.0663177822727773
1229000.0,1.741135657552212,0.0700719975744075
1231000.0,1.8169097648834056,0.0674765749086954
1233000.0,1.8866044607124697,0.0742780488156894
1235000.0,1.8414312380070403,0.0698116953467457
1237000.0,2.0703692944988505,0.051427220546978354
1239000.0,2.013428191775576,0.0714212778751323
1241000.0,2.0567885656859017,0.0751800737154586
1243000.0,1.9564842412479575,0.0720855643209189
1245000.0,1.9515823739692797,0.069274694264962
1247000.0,2.0466342045963373,0.0825526322649219
1249000.0,2.080548795622818,0.0687457772961563
1251000.0,2.039969596745163,0.0750298886234423
1253000.0,2.170327687067876,0.04971199497716561
1255000.0,2.013422411484583,0.0737710817229638
