EN (EV) 1.1,DATA (B) 0.1
3.548800e+6,6.494800e-3
3.561100e+6,5.859300e-3
3.573400e+6,5.366100e-3
3.585700e+6,5.005100e-3
3.598000e+6,4.797000e-3
3.610300e+6,4.894700e-3
3.622600e+6,7.424900e-3
3.634900e+6,7.059900e-3
3.647200e+6,4.137800e-3
3.659500e+6,4.548700e-3
3.671800e+6,5.573900e-3
3.684100e+6,4.381400e-3
3.690300e+6,4.089700e-3
3.696400e+6,6.363400e-3
3.702600e+6,2.758800e-2
3.703800e+6,4.496700e-2
3.705100e+6,7.338400e-2
3.706300e+6,9.575800e-2
3.707500e+6,8.114200e-2
3.708700e+6,5.370100e-2
3.710000e+6,3.505700e-2
3.711200e+6,2.428500e-2
3.712400e+6,1.793100e-2
3.713700e+6,1.397100e-2
3.714900e+6,1.136300e-2
3.721000e+6,5.996000e-3
3.727200e+6,4.391300e-3
3.733400e+6,3.690100e-3
3.739500e+6,3.315800e-3
3.745700e+6,3.090000e-3
3.758000e+6,2.839100e-3
3.770300e+6,2.708200e-3
3.782600e+6,2.630900e-3
3.794900e+6,2.581300e-3
3.807200e+6,2.547800e-3
3.819500e+6,2.524300e-3
3.831800e+6,2.507400e-3
3.844100e+6,2.495400e-3
3.856400e+6,2.487600e-3
3.868700e+6,2.484400e-3
3.881000e+6,2.487700e-3
3.893300e+6,2.500900e-3
3.905600e+6,2.529900e-3
3.917900e+6,2.584000e-3
3.930200e+6,2.676600e-3
3.942500e+6,2.826200e-3
3.954800e+6,3.055700e-3
3.967100e+6,3.389400e-3
3.979400e+6,3.848000e-3
3.991700e+6,4.442900e-3
3.997900e+6,4.792800e-3
4.004000e+6,5.178500e-3
4.010200e+6,5.603500e-3
4.016300e+6,6.072600e-3
4.022500e+6,6.599800e-3
4.028600e+6,7.206500e-3
4.034800e+6,7.934300e-3
4.040500e+6,8.778000e-3
4.040900e+6,8.854100e-3
4.047100e+6,1.009200e-2
4.053200e+6,1.188400e-2
4.059400e+6,1.465700e-2
4.065500e+6,1.909100e-2
4.068000e+6,2.161600e-2
4.071700e+6,2.540300e-2
4.075400e+6,2.804200e-2
4.077800e+6,2.980200e-2
4.080300e+6,2.763500e-2
4.085200e+6,2.330000e-2
4.087700e+6,2.113300e-2
4.090100e+6,1.896400e-2
4.096300e+6,1.515000e-2
4.102400e+6,1.133400e-2
4.108600e+6,1.015100e-2
4.114700e+6,8.968700e-3
4.127000e+6,8.169600e-3
4.139300e+6,7.902200e-3
4.151600e+6,7.857800e-3
4.163900e+6,7.925100e-3
4.176200e+6,8.060400e-3
4.188500e+6,8.246000e-3
4.200800e+6,8.475900e-3
4.213100e+6,8.750100e-3
4.225400e+6,9.074000e-3
4.237700e+6,9.457000e-3
4.250000e+6,9.915000e-3
4.262300e+6,1.047200e-2
4.274700e+6,1.116500e-2
4.287000e+6,1.205400e-2
4.299300e+6,1.324000e-2
4.311600e+6,1.490700e-2
4.323900e+6,1.741700e-2
4.330000e+6,1.948800e-2
4.336200e+6,2.156000e-2
4.342300e+6,2.544300e-2
4.348500e+6,2.932800e-2
4.354600e+6,3.797100e-2
4.360800e+6,4.661800e-2
4.366900e+6,6.367000e-2
4.370600e+6,7.988100e-2
4.373100e+6,9.069100e-2
4.375500e+6,1.038000e-1
4.379200e+6,1.234700e-1
4.380500e+6,1.284000e-1
4.381700e+6,1.319000e-1
4.382900e+6,1.336100e-1
4.384100e+6,1.333300e-1
4.385400e+6,1.310000e-1
4.386600e+6,1.267900e-1
4.387800e+6,1.210100e-1
4.389100e+6,1.141000e-1
4.390300e+6,1.065100e-1
4.391500e+6,9.866700e-2
4.392800e+6,9.082500e-2
4.395200e+6,7.626500e-2
4.397700e+6,6.384700e-2
4.403800e+6,4.227600e-2
4.410000e+6,3.023300e-2
4.416100e+6,2.339800e-2
4.422300e+6,1.936400e-2
4.428400e+6,1.690200e-2
4.434600e+6,1.537000e-2
4.440700e+6,1.442100e-2
4.446900e+6,1.385500e-2
4.453000e+6,1.354600e-2
4.459200e+6,1.338700e-2
4.461600e+6,1.332800e-2
4.464100e+6,1.323200e-2
4.465300e+6,1.313600e-2
4.466600e+6,1.304100e-2
4.469000e+6,1.263200e-2
4.471500e+6,1.179300e-2
4.473900e+6,1.035900e-2
4.476400e+6,8.866600e-3
4.477600e+6,8.495400e-3
4.478900e+6,8.470000e-3
4.480100e+6,8.711200e-3
4.481300e+6,9.098600e-3
4.482600e+6,9.535800e-3
4.483800e+6,9.966300e-3
4.485000e+6,1.036600e-2
4.486300e+6,1.072700e-2
4.487500e+6,1.105000e-2
4.488700e+6,1.133900e-2
4.491200e+6,1.183700e-2
4.493600e+6,1.225700e-2
4.496100e+6,1.262500e-2
4.498600e+6,1.296200e-2
4.501000e+6,1.328000e-2
4.502200e+6,1.343300e-2
4.503500e+6,1.358600e-2
4.505900e+6,1.389000e-2
4.508400e+6,1.419400e-2
4.514500e+6,1.498700e-2
4.520700e+6,1.586500e-2
4.526800e+6,1.687800e-2
4.533000e+6,1.808900e-2
4.539200e+6,1.958700e-2
4.542800e+6,2.074800e-2
4.545300e+6,2.152200e-2
4.547800e+6,2.257700e-2
4.550200e+6,2.363300e-2
4.551500e+6,2.416100e-2
4.552700e+6,2.494100e-2
4.553900e+6,2.572000e-2
4.555100e+6,2.650100e-2
4.556400e+6,2.728100e-2
4.557600e+6,2.806100e-2
4.558800e+6,2.914900e-2
4.560100e+6,3.023700e-2
4.561300e+6,3.161900e-2
4.562500e+6,3.300000e-2
4.563800e+6,3.483800e-2
4.565000e+6,3.667600e-2
4.566200e+6,3.928900e-2
4.567400e+6,4.190200e-2
4.569900e+6,5.011000e-2
4.571100e+6,5.631600e-2
4.572400e+6,6.501600e-2
4.573600e+6,7.776300e-2
4.574800e+6,9.694700e-2
4.576100e+6,1.245300e-1
4.577300e+6,1.551600e-1
4.578500e+6,1.682500e-1
4.579700e+6,1.543200e-1
4.581000e+6,1.328200e-1
4.582200e+6,1.175300e-1
4.584700e+6,1.071300e-1
4.587100e+6,1.116500e-1
4.588400e+6,1.168100e-1
4.589600e+6,1.219600e-1
4.592100e+6,1.307400e-1
4.594500e+6,1.302500e-1
4.597000e+6,1.171900e-1
4.599400e+6,9.648900e-2
4.601900e+6,7.570100e-2
4.604400e+6,5.885500e-2
4.606800e+6,4.649400e-2
4.609300e+6,3.864900e-2
4.611700e+6,3.314400e-2
4.614200e+6,2.930200e-2
4.616700e+6,2.663300e-2
4.619100e+6,2.479700e-2
4.625300e+6,2.249500e-2
4.631400e+6,2.206400e-2
4.637600e+6,2.263600e-2
4.656000e+6,2.441900e-2
4.680600e+6,2.631500e-2
4.729800e+6,3.534200e-2
4.779000e+6,3.469500e-2
4.803700e+6,3.317200e-2
4.818700e+6,3.221400e-2
4.828300e+6,3.183500e-2
4.852900e+6,3.304000e-2
4.877500e+6,3.577800e-2
4.902100e+6,4.374400e-2
4.926700e+6,6.648300e-2
4.951300e+6,9.604700e-2
4.975900e+6,1.224100e-1
5.000500e+6,1.095500e-1
5.013370e+6,9.693476e-2
5.020000e+6,9.310020e-2
5.030000e+6,8.576570e-2
5.040000e+6,8.270020e-2
5.050000e+6,8.242200e-2
5.060000e+6,8.405400e-2
5.070000e+6,8.708800e-2
5.080000e+6,9.121300e-2
5.090000e+6,9.622300e-2
5.100000e+6,1.019600e-1
5.110000e+6,1.082800e-1
5.119310e+6,1.145736e-1
5.120000e+6,1.150400e-1
5.130000e+6,1.220600e-1
5.140000e+6,1.291300e-1
5.150000e+6,1.360400e-1
5.160000e+6,1.425300e-1
5.170000e+6,1.483540e-1
5.180000e+6,1.532440e-1
5.190000e+6,1.570160e-1
5.200000e+6,1.595700e-1
5.210000e+6,1.607953e-1
5.220000e+6,1.607502e-1
5.230000e+6,1.595743e-1
5.240000e+6,1.573760e-1
5.250000e+6,1.544110e-1
5.260000e+6,1.508900e-1
5.270000e+6,1.470490e-1
5.280000e+6,1.431200e-1
5.290000e+6,1.394100e-1
5.300000e+6,1.365800e-1
5.310000e+6,1.377500e-1
5.320000e+6,1.747000e-1
5.330000e+6,1.833700e-1
5.340000e+6,1.453490e-1
5.350000e+6,1.361490e-1
5.360000e+6,1.330700e-1
5.370000e+6,1.325200e-1
5.380000e+6,1.336600e-1
5.390000e+6,1.362506e-1
5.400000e+6,1.401198e-1
5.410000e+6,1.451202e-1
5.420000e+6,1.509400e-1
5.430000e+6,1.569799e-1
5.440000e+6,1.624000e-1
5.450000e+6,1.662399e-1
5.460000e+6,1.676900e-1
5.470000e+6,1.664594e-1
5.480000e+6,1.628402e-1
5.490000e+6,1.576401e-1
5.500000e+6,1.516999e-1
5.510000e+6,1.457796e-1
5.520000e+6,1.403602e-1
5.530000e+6,1.356796e-1
5.540000e+6,1.318695e-1
5.550000e+6,1.288898e-1
5.560000e+6,1.266996e-1
5.570000e+6,1.252098e-1
5.580000e+6,1.243807e-1
5.590000e+6,1.241096e-1
5.600000e+6,1.241746e-1
5.610000e+6,1.243644e-1
5.620000e+6,1.246846e-1
5.630000e+6,1.251372e-1
5.640000e+6,1.257057e-1
5.650000e+6,1.264086e-1
5.660000e+6,1.272377e-1
5.670000e+6,1.281963e-1
5.680000e+6,1.292801e-1
5.690000e+6,1.304942e-1
5.700000e+6,1.318338e-1
5.710000e+6,1.333030e-1
5.720000e+6,1.348985e-1
5.730000e+6,1.366213e-1
5.740000e+6,1.384724e-1
5.750000e+6,1.404521e-1
5.760000e+6,1.425583e-1
5.770000e+6,1.447933e-1
5.780000e+6,1.471542e-1
5.790000e+6,1.496453e-1
5.800000e+6,1.522621e-1
5.810000e+6,1.550068e-1
5.820000e+6,1.578802e-1
5.830000e+6,1.608800e-1
5.840000e+6,1.699310e-1
5.850000e+6,1.779550e-1
5.860000e+6,1.885260e-1
5.870000e+6,2.025100e-1
5.880000e+6,2.206990e-1
5.890000e+6,2.439490e-1
5.900000e+6,2.741020e-1
5.910000e+6,3.155120e-1
5.920000e+6,3.590210e-1
5.930000e+6,4.007310e-1
5.940000e+6,4.367460e-1
5.950000e+6,4.631450e-1
5.960000e+6,4.760190e-1
5.970000e+6,4.707070e-1
5.980000e+6,4.516620e-1
5.990000e+6,4.227770e-1
6.000000e+6,3.878400e-1
6.010000e+6,3.506750e-1
6.020000e+6,3.150710e-1
6.030000e+6,2.842110e-1
6.040000e+6,2.588650e-1
6.050000e+6,2.385810e-1
6.060000e+6,2.228310e-1
6.070000e+6,2.111000e-1
6.080000e+6,2.028840e-1
6.090000e+6,1.976420e-1
6.100000e+6,1.948740e-1
6.110000e+6,1.940620e-1
6.120000e+6,1.946890e-1
6.130000e+6,1.962380e-1
6.140000e+6,1.982030e-1
6.148560e+6,1.997866e-1
6.150000e+6,2.000530e-1
6.160000e+6,2.015680e-1
6.170000e+6,2.027640e-1
6.180000e+6,2.036430e-1
6.190000e+6,2.042350e-1
6.200000e+6,2.045420e-1
6.400000e+6,1.757487e-1
6.410120e+6,1.751133e-1
6.600000e+6,1.631905e-1
6.800000e+6,2.049002e-1
7.000000e+6,2.553020e-1
7.200000e+6,2.784810e-1
7.400000e+6,2.802800e-1
7.600000e+6,2.760800e-1
7.800000e+6,2.731927e-1
8.000000e+6,2.709428e-1
8.200000e+6,2.682514e-1
8.400000e+6,2.655935e-1
8.600000e+6,2.636757e-1
8.705330e+6,2.631410e-1
8.800000e+6,2.626604e-1
9.000000e+6,2.620096e-1
9.200000e+6,2.614587e-1
9.400000e+6,2.613757e-1
9.600000e+6,2.617226e-1
9.800000e+6,2.625743e-1
1.000000e+7,2.614518e-1
1.020000e+7,2.631467e-1
1.040000e+7,2.628733e-1
1.060000e+7,2.620936e-1
1.080000e+7,2.626481e-1
1.100000e+7,2.604887e-1
1.120000e+7,2.611922e-1
1.140000e+7,2.601577e-1
1.160000e+7,2.589689e-1
1.180000e+7,2.580624e-1
1.200000e+7,2.559308e-1
1.220000e+7,2.550674e-1
1.240000e+7,2.533189e-1
1.260000e+7,2.519287e-1
1.280000e+7,2.510865e-1
1.300000e+7,2.496576e-1
1.320000e+7,2.493659e-1
1.340000e+7,2.487324e-1
1.360000e+7,2.486192e-1
1.380000e+7,2.487238e-1
1.400000e+7,2.475732e-1
1.420000e+7,2.474180e-1
1.440000e+7,2.468232e-1
1.460000e+7,2.462403e-1
1.480000e+7,2.459639e-1
1.500000e+7,2.462428e-1
