DATA (B) 0.1,DATA-ERR (B) 0.911,EN (EV) 1.1,EN-ERR (PER-CENT) 1.911
0.006617,1.42e-4,1.7828e+6,0.15
0.00678,1.44e-4,1.7848e+6,0.15
0.006803,1.44e-4,1.7868e+6,0.15
0.006928,1.45e-4,1.7888e+6,0.15
0.007201,1.49e-4,1.7908e+6,0.15
0.007499,1.51e-4,1.7928e+6,0.15
0.007291,1.49e-4,1.7948e+6,0.15
0.007088,1.48e-4,1.7978e+6,0.15
0.007956,1.56e-4,1.8018e+6,0.15
0.007672,1.53e-4,1.8058e+6,0.15
0.008004,1.56e-4,1.8108e+6,0.15
0.008289,1.59e-4,1.8148e+6,0.15
0.008243,1.58e-4,1.8188e+6,0.15
0.008782,1.63e-4,1.8238e+6,0.15
0.008614,1.62e-4,1.8278e+6,0.15
0.009396,1.69e-4,1.8328e+6,0.15
0.009248,1.68e-4,1.8368e+6,0.15
0.009734,1.72e-4,1.8409e+6,0.15
0.01007,1.75e-4,1.8459e+6,0.15
0.01017,1.76e-4,1.8499e+6,0.15
0.01019,1.76e-4,1.8549e+6,0.15
0.01084,1.81e-4,1.8589e+6,0.15
0.01127,1.85e-4,1.8629e+6,0.15
0.01122,1.85e-4,1.8679e+6,0.15
0.01173,1.89e-4,1.8719e+6,0.15
0.01232,1.93e-4,1.8769e+6,0.15
0.01316,1.99e-4,1.8809e+6,0.15
0.0134,2.01e-4,1.8859e+6,0.15
0.01377,2.04e-4,1.8899e+6,0.15
0.01403,2.06e-4,1.8949e+6,0.15
0.01455,2.1e-4,1.8989e+6,0.15
0.01514,2.14e-4,1.9039e+6,0.15
0.01542,2.15e-4,1.9079e+6,0.15
0.01605,2.21e-4,1.9129e+6,0.15
0.01658,2.24e-4,1.9169e+6,0.15
0.01703,2.27e-4,1.9219e+6,0.15
0.01752,2.3e-4,1.9259e+6,0.15
0.01846,2.35e-4,1.9299e+6,0.15
0.01909,2.4e-4,1.9349e+6,0.15
0.01928,2.41e-4,1.9389e+6,0.15
0.02052,2.49e-4,1.9439e+6,0.15
0.02116,2.52e-4,1.9479e+6,0.15
0.02233,2.6e-4,1.9529e+6,0.15
0.02354,3.79e-4,1.9589e+6,0.15
0.02486,3.89e-4,1.9629e+6,0.15
0.02541,3.93e-4,1.9679e+6,0.15
0.0261,3.98e-4,1.9729e+6,0.15
0.02721,4.06e-4,1.9769e+6,0.15
0.02915,4.2e-4,1.9819e+6,0.15
0.0298,4.25e-4,1.9859e+6,0.15
0.03105,4.34e-4,1.9909e+6,0.15
0.03259,4.44e-4,1.9959e+6,0.15
0.03413,4.55e-4,2.0009e+6,0.15
0.03557,4.65e-4,2.0049e+6,0.15
0.03825,4.81e-4,2.0099e+6,0.15
0.03931,4.88e-4,2.0139e+6,0.15
0.04097,4.98e-4,2.019e+6,0.15
0.04214,5.05e-4,2.024e+6,0.15
0.04507,5.22e-4,2.029e+6,0.15
0.04739,5.35e-4,2.033e+6,0.15
0.04971,5.48e-4,2.038e+6,0.15
0.05248,5.63e-4,2.043e+6,0.15
0.05412,5.71e-4,2.047e+6,0.15
0.0572,5.87e-4,2.052e+6,0.15
0.05999,6.01e-4,2.057e+6,0.15
0.06358,6.19e-4,2.062e+6,0.15
0.06565,6.29e-4,2.066e+6,0.15
0.06828,6.41e-4,2.071e+6,0.15
0.06923,6.45e-4,2.076e+6,0.15
0.07073,6.53e-4,2.081e+6,0.15
0.0729,6.62e-4,2.086e+6,0.15
0.07156,6.56e-4,2.09e+6,0.15
0.07234,6.6e-4,2.095e+6,0.15
0.06926,6.46e-4,2.1e+6,0.15
0.07031,6.51e-4,2.104e+6,0.15
0.06818,6.41e-4,2.109e+6,0.15
0.06678,6.34e-4,2.114e+6,0.15
0.06481,6.26e-4,2.119e+6,0.15
0.06437,6.23e-4,2.124e+6,0.15
